customer_id,city,state,country
60900,Edgewater,Colorado,United States
61101,Caledon,ON,Canada
61599,Athens,GA,United States
61707,Santa Rosa,CA,United States
62089,Eagleville,Pa,United States
62615,Montreal,Quebec,Canada
62779,Sacramento,CA,United States
62889,Trois-Rivi;res,Quebec,Canada
60079,Flushing,NY,United States
64029,Redmond,WA,United States
64201,Chapel Hill,NC,United States
65155,Castle rock,co,United States
65607,Copenhagen,Denmark,Denmark
66091,Minneapolis,MN,United States
66419,Elk Grove,California,United States
67700,San jose,Ca,United States
67947,Bangalore,KA,India
67907,Felton,CA,United States
68865,Manchester,Lancashire,United Kingdom
68879,Washington,DC,United States
69199,Romford,essex,United Kingdom
69740,Olivet,Michigan,United States
69795,Chicago,Illinois,United States
70645,Abu Dhabi,Abu Dhabi,United Arab Emirates
70801,Flemington,NJ,United States
71677,Den Bosch,Nederland,Netherlands
72169,Sacramento,Ca,United States
72207,Como,NSW,Australia
72750,Citrus Heights,Ca,United States
72840,Seattle,Washington,United States
72911,Thurmont,MD,United States
72975,Pacifica,ca,United States
72941,Galena,oh,United States
70020,Cochrane,AB,Canada
70129,Vanessa,Ontario,Canada
70041,Arvada,CO,United States
70000,St Leonards,NSW,Australia
70201,Payson,Ut,United States
70220,Dallas,Texas,United States
70060,Marlborough,MA,United States
70457,Gillette,WY,United States
70417,Bellmawr,New Jersey,United States
70079,Montreal,Quebec,Canada
70545,Granada Hills,California,United States
70540,North Vancouver,BC,Canada
70671,Burnaby,BC,Canada
70617,Loma Linda,CA,United States
70550,Linlithgow,West Lothian,United Kingdom
70581,Ft. Worth,Texas,United States
70879,Plantation,fl,United States
70780,Shailer Park,QLD,Australia
74005,Cary,NC,United States
74011,OAKLAND PARK,FL,United States
70979,Middle Dural,NSW,Australia
70971,New York,New York,United States
70981,Omaha,NE,United States
70901,Chesterfield,Mo,United States
74825,Mailsi,punjab,United States
74879,Oakland Park,FL,United States
74849,Nicosia,NA,Cyprus
74587,Battlefield,MO,United States
74755,Soquel,CA,United States
74059,Wyndham Vale,Vic,Australia
74299,Berriedale,Tasmania,Australia
74050,Buenos Aires,Buenos Aires,Argentina
74219,Iowa City,IA,United States
74105,Winchester,VA,United States
74907,New York,NY,United States
74957,WALNUT CREEK,CALIFORNIA,United States
75009,Greeley,CO,United States
75410,San Diego,California,United States
75529,Centennial,CO,United States
75509,Poway,CA,United States
75600,Tokyo,JP,Japan
75715,Faringdon,Oxfordshire,United Kingdom
75719,Vancouver,British Columbia,Canada
75921,Durham,NC,United States
75881,Vancouver,BC,Canada
75905,Castro Valley,California,United States
75967,Rohnert Park,CA,United States
76049,Ratingen,North Rhine-Westphalia,Germany
76067,Vacaville,CA,United States
76865,North Fort Myers,FL,United States
76825,Tallmadge,OH,United States
76907,Sheffield,N/A,United Kingdom
76921,Tucson,AZ,United States
77127,AE,DUBAI,United Arab Emirates
77265,OREFIELD,PA,United States
77240,San Diego,CA,United States
77415,Elmhurst,Illinois,United States
77047,Bloomington,Minnesota,United States
77507,ELKO,Nevada,United States
77549,Clarksburg,MD,United States
77651,Singapore,SGP,Singapore
77629,Lincoln,NE,United States
78017,Seattle,WA,United States
78105,Los Angeles,CA,United States
78211,Fairfield,Ca,United States
78005,Mableton,GA,United States
78409,Liverpool,Merseyside,United Kingdom
78500,Ventura,CA,United States
78529,San Clemente,CA,United States
78519,Las Vegas,NV,United States
78601,Venice,California,United States
78819,Toronto,Ontario,United States
78909,Vancouver,BC,Canada
79000,Amsterdam,Noord-Holland,Netherlands
79145,Keller,Tx,United States
79179,San Francisco,CA,United States
79159,Saginaw,Michigan,United States
79291,Lakewood,NJ,United States
79240,Taylorville,il,United States
79001,Somerville,Massachusetts,United States
79045,Tonawanda,New York,United States
79067,Emeryville,CA,United States
79445,ISTANBUL,Istanbul,Turkey
79465,Surrey,BC,Canada
79740,San Francisco,CA,United States
79700,Powell,OH,United States
80175,Brunswick West,VIC,Australia
80271,Scottsdale,AZ,United States
80085,Ballarat,VIC,Australia
80459,Evans Plains,NSW,Australia
