customer_id,productid,purchaseDate
82517,1370,2016-02-01 15:52:37
82517,1070,2016-02-01 15:56:17
52049,1370,2016-02-01 17:58:11
82970,1230,2016-02-01 18:06:07
44791,1150,2016-02-01 19:31:08
44791,1110,2016-02-01 19:31:50
88901,1050,2016-02-01 21:00:51
16297,1370,2016-02-02 10:49:03
55807,1020,2016-02-02 11:25:18
65607,1160,2016-02-02 13:02:13
87110,1370,2016-02-02 17:19:50
40501,1370,2016-02-03 14:28:45
941,1360,2016-02-03 14:42:32
941,1050,2016-02-03 14:45:56
941,1060,2016-02-03 14:47:35
44601,1370,2016-02-03 17:05:44
44601,1070,2016-02-03 17:16:21
44601,1060,2016-02-03 17:19:03
47825,1020,2016-02-03 18:20:38
55250,1110,2016-02-03 19:32:06
46001,1370,2016-02-03 22:46:11
20659,1110,2016-02-03 23:20:40
62007,1370,2016-02-04 00:03:42
62411,1370,2016-02-04 00:49:20
60090,1230,2016-02-04 01:59:36
81180,1370,2016-02-04 06:17:46
4460,1370,2016-02-04 10:09:16
42801,1370,2016-02-04 18:13:55
42801,1050,2016-02-04 18:18:52
65100,1370,2016-02-04 21:35:03
65007,1330,2016-02-04 23:22:32
65049,1370,2016-02-04 23:24:27
47087,1370,2016-02-04 23:30:12
7577,1020,2016-02-04 23:50:57
42715,1370,2016-02-05 00:51:49
67271,1230,2016-02-05 15:26:40
40029,1030,2016-02-06 18:44:46
57611,1020,2016-02-07 20:19:54
44857,1110,2016-02-08 06:46:01
42789,1370,2016-02-08 08:46:30
49145,1230,2016-02-08 16:53:34
60007,1150,2016-02-09 16:39:07
44001,1110,2016-02-10 00:46:56
81101,1020,2016-02-10 12:19:57
597,1110,2016-02-10 13:17:55
597,1370,2016-02-10 13:50:14
9290,1370,2016-02-10 18:38:13
86005,1110,2016-02-10 18:48:18
40789,1110,2016-02-10 20:54:40
9405,1370,2016-02-11 06:26:06
9405,1070,2016-02-11 06:35:03
26005,1370,2016-02-11 19:15:14
89195,1230,2016-02-11 21:01:11
42775,1370,2016-02-11 22:18:31
41067,1370,2016-02-11 22:58:41
90507,1230,2016-02-12 10:06:06
90507,1130,2016-02-12 10:10:38
90507,1220,2016-02-12 10:11:04
26005,1060,2016-02-12 10:16:31
84607,1150,2016-02-12 12:35:44
91705,1110,2016-02-12 20:28:10
77415,1310,2016-02-13 08:08:54
92905,1310,2016-02-13 10:15:31
68095,1310,2016-02-13 14:40:42
81427,1310,2016-02-13 19:37:21
77415,1160,2016-02-13 20:23:45
70041,1310,2016-02-13 21:45:52
95027,1310,2016-02-14 12:48:07
95605,1110,2016-02-14 15:21:09
71677,1310,2016-02-14 16:02:09
70550,1310,2016-02-14 17:46:08
41711,1200,2016-02-15 04:53:19
59759,1370,2016-02-15 10:21:53
51081,1310,2016-02-15 11:27:54
97741,1360,2016-02-15 11:59:37
97741,1050,2016-02-15 12:02:08
97741,1060,2016-02-15 12:05:16
2229,1310,2016-02-15 12:12:37
51707,1310,2016-02-15 13:38:28
527,1310,2016-02-15 13:44:39
527,1110,2016-02-15 13:51:19
527,1020,2016-02-15 13:56:42
50997,1310,2016-02-15 16:43:08
98410,1310,2016-02-15 16:51:48
55640,1310,2016-02-15 18:06:36
69740,1310,2016-02-15 18:56:58
6815,1310,2016-02-15 19:05:46
75529,1310,2016-02-16 00:20:54
56120,1310,2016-02-16 01:02:28
86665,1310,2016-02-16 04:02:19
52229,1330,2016-02-16 04:09:31
40989,1310,2016-02-16 05:29:30
99899,1020,2016-02-16 05:33:08
81005,1310,2016-02-16 05:56:15
60580,1370,2016-02-16 08:12:27
279,1310,2016-02-16 09:23:06
78819,1310,2016-02-16 09:48:25
56405,1370,2016-02-16 10:15:27
94801,1310,2016-02-16 13:40:51
68865,1310,2016-02-16 14:01:28
50080,1310,2016-02-16 14:52:51
50080,1110,2016-02-16 15:01:50
4919,1310,2016-02-16 15:08:56
2249,1310,2016-02-16 15:21:20
60641,1370,2016-02-16 17:06:35
60641,1050,2016-02-16 17:07:02
75009,1310,2016-02-16 17:13:21
50847,1310,2016-02-16 18:09:13
92717,1310,2016-02-16 19:16:57
20757,1310,2016-02-16 19:24:35
29801,1310,2016-02-16 20:07:45
1225,1020,2016-02-16 20:50:33
2175,1310,2016-02-16 21:15:09
2195,1310,2016-02-16 21:25:41
5099,1310,2016-02-16 22:17:04
74250,1310,2016-02-16 22:17:47
51465,1310,2016-02-16 22:29:34
68141,1310,2016-02-16 22:54:49
2579,1310,2016-02-16 23:08:14
70559,1310,2016-02-16 23:08:21
2579,1110,2016-02-16 23:10:07
2671,1310,2016-02-16 23:34:43
2720,1310,2016-02-16 23:49:50
2817,1310,2016-02-17 00:23:29
46120,1310,2016-02-17 01:00:48
10297,1310,2016-02-17 01:11:08
65607,1310,2016-02-17 01:12:15
15577,1310,2016-02-17 01:54:59
10209,1310,2016-02-17 02:55:48
66897,1110,2016-02-17 07:06:40
56087,1370,2016-02-17 08:43:15
50481,1370,2016-02-17 09:47:04
4170,1140,2016-02-17 10:25:43
5251,1370,2016-02-17 16:39:02
1585,1110,2016-02-17 18:42:40
7097,1050,2016-02-17 21:45:26
51447,1370,2016-02-18 00:21:26
25447,1370,2016-02-18 01:37:44
65709,1110,2016-02-18 01:50:27
25659,1110,2016-02-18 01:58:09
25659,1310,2016-02-18 02:06:43
7051,1370,2016-02-18 07:10:02
66719,1370,2016-02-18 09:48:45
597,1050,2016-02-18 14:19:29
60480,1370,2016-02-18 16:22:09
59061,1370,2016-02-18 16:51:58
51409,1370,2016-02-18 20:48:23
90241,1370,2016-02-19 00:14:55
60007,1330,2016-02-19 00:54:32
10547,1370,2016-02-19 01:17:17
62409,1370,2016-02-19 02:29:49
4079,1050,2016-02-19 07:54:48
11100,1020,2016-02-19 13:49:09
71677,1050,2016-02-19 17:36:54
64997,1110,2016-02-19 23:36:42
16871,1160,2016-02-20 00:55:04
94005,1050,2016-02-20 02:54:12
89465,1370,2016-02-22 11:11:19
59121,1110,2016-02-22 11:58:34
14699,1310,2016-02-22 13:15:12
95821,1370,2016-02-22 15:36:08
86945,1080,2016-02-22 19:16:28
20117,1020,2016-02-22 22:36:59
60090,1310,2016-02-23 02:18:35
90627,1370,2016-02-23 07:58:28
71677,1260,2016-02-23 08:50:55
70521,1370,2016-02-23 09:57:04
89969,1370,2016-02-23 14:32:48
82785,1110,2016-02-23 19:32:45
70780,1310,2016-02-23 19:59:53
94709,1370,2016-02-24 00:45:43
70720,1370,2016-02-24 05:32:59
70777,1310,2016-02-24 07:41:23
84145,1110,2016-02-24 08:34:26
76881,1370,2016-02-24 10:21:14
88587,1110,2016-02-24 12:28:57
90065,1110,2016-02-24 16:48:59
87467,1110,2016-02-24 18:14:29
79671,1110,2016-02-24 20:50:30
25697,1110,2016-02-24 21:48:50
88875,1110,2016-02-24 21:48:56
26701,1110,2016-02-24 21:52:49
62089,1110,2016-02-24 21:57:42
1011,1110,2016-02-24 21:57:50
49959,1110,2016-02-24 22:00:32
76067,1110,2016-02-24 22:00:37
62089,1370,2016-02-24 22:01:44
8951,1110,2016-02-24 22:05:00
11945,1110,2016-02-24 22:06:30
1071,1110,2016-02-24 22:14:05
82801,1110,2016-02-24 22:16:32
70079,1110,2016-02-24 22:22:42
1401,1110,2016-02-24 22:29:34
81929,1110,2016-02-24 22:39:06
1401,1370,2016-02-24 22:40:28
1480,1110,2016-02-24 22:45:06
1487,1080,2016-02-24 22:45:29
70981,1110,2016-02-24 22:46:55
